34,城市之光,喜剧 剧情 爱情 ,查理·卓别林 弗吉尼亚·切瑞尔 佛罗伦斯·李 亨利·伯格曼 珍·哈露 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2099815842.jpg,美国 
35,生活多美好,剧情 爱情 奇幻 ,詹姆斯·斯图尔特 唐娜·里德 莱昂纳尔·巴里摩尔 托马斯·米切尔 亨利·崔佛斯 ,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg,美国 
36,洞,犯罪 剧情 惊悚 ,马克·米歇尔 吉恩·凯乐蒂 菲利普·勒鲁瓦 迈克尔·康斯坦丁 雷蒙德·梅尼尔 ,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2497389079.jpg,法国 意大利 
37,超感猎杀：完结特别篇,剧情 科幻 同性 ,裴斗娜 杰米·克莱顿 蒂娜·德赛 塔彭丝·米德尔顿 马克思·雷迈特 米格尔·安赫尔·西尔维斯特 布莱恩·J·史密斯 托比·奥伍梅尔 弗莉玛·阿吉曼 普拉布 科里 阿方索·埃雷拉 泰伦斯·曼 达丽尔·汉纳 纳威恩·安德利维斯 Ness Bautista  斯蒂芬·鲍克思 阿米拉·加扎拉 约书亚·格罗斯 埃伦迪拉·伊瓦拉 雅丽·乔维尔 西尔维斯特·迈可伊 Annie Munch Avant Strangel 马克斯·毛夫 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520264840.jpg,美国 
38,切腹,剧情 ,仲代达矢 石浜朗 岩下志麻 丹波哲郎 三岛雅夫 中谷一郎 佐藤庆 稻叶义男 井川比佐志 武内亨 青木义朗 松村达雄 小林昭二 三国连太郎 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151748293.jpg,日本 
39,哀乐中年,剧情 爱情 家庭 ,石挥 朱嘉琛 沈扬 李浣青 韩非 崔超明 程之 路珊 莫愁 胡小琴 顾慕如 俞仲英 伊斯兰 叶明 林榛 田振东 周瑞德 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2029574250.jpg,中国大陆 
40,狐妖小红娘剧场版：王权富贵,剧情 喜剧 爱情 ,杨天翔 刘校妤 乔诗语 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg,中国大陆 
41,楚门的世界,剧情 科幻 ,金·凯瑞 劳拉·琳妮 艾德·哈里斯 诺亚·艾默里奇 娜塔莎·麦克艾霍恩 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,美国 
42,摔跤吧！爸爸,剧情 传记 运动 家庭 ,阿米尔·汗 法缇玛·萨那·纱卡 桑亚·玛荷塔 阿帕尔夏克提·库拉那 沙克希·坦沃 塞伊拉·沃西 苏哈妮·巴特纳格尔 里特维克·萨霍里 吉里什·库卡尼 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,印度 
43,无间道,剧情 犯罪 悬疑 ,刘德华 梁朝伟 黄秋生 曾志伟 郑秀文 陈慧琳 陈冠希 余文乐 杜汶泽 林家栋 萧亚轩 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,香港 
